binning_version,bin_id,xB_min,xB_max,Q2_min,Q2_max,xB_center,Q2_center,target,radiation_mode,Ebeam,Eprime,theta,xB,Q2,sigma_born,sigma_born_in,sigma_born_qe,sigma_rad,sigma_rad_el,sigma_rad_qe,sigma_rad_dis,coulomb_factor,dis_rc_factor,dis_rc_factor_err
dis_12bins_v1,1,0.1,0.15,1.0,1.5,0.125,1.25,LD2,internal-external,10.5,5.171,8.7,0.1249,1.2495,188.34,188.34,0.00053386,223.8,0.17744,5.5894,218.04,1.0,0.8415549597855227,0.0
dis_12bins_v1,2,0.1,0.15,1.5,2.25,0.125,1.875,LD2,internal-external,10.5,2.506,15.33,0.1248,1.8725,17.298,17.298,1.779e-05,26.205,0.099975,2.0745,24.03,1.0,0.6601030337721808,0.0
dis_12bins_v1,3,0.15,0.2,1.0,2.0,0.175,1.5,LD2,internal-external,10.5,5.932,8.9,0.175,1.4999,198.51,198.5,0.0013703,216.81,0.049647,3.1224,213.64,1.0,0.9155942991559429,0.0
dis_12bins_v1,4,0.15,0.2,2.0,3.0,0.175,2.5,LD2,internal-external,10.5,2.887,16.51,0.175,2.4996,13.8,13.8,2.0007e-05,17.714,0.021503,0.68769,17.005,1.0,0.7790448233036018,0.0
dis_12bins_v1,5,0.2,0.3,1.0,2.0,0.25,1.5,LD2,internal-external,10.5,7.302,8.02,0.2499,1.4998,364.98,364.97,0.01478,366.36,0.015597,4.2383,362.1,1.0,0.9962332132328857,0.0
dis_12bins_v1,6,0.2,0.3,2.0,3.0,0.25,2.5,LD2,internal-external,10.5,5.171,12.31,0.2497,2.4967,45.417,45.417,0.00031469,48.15,0.0054267,0.42336,47.721,1.0,0.9432398753894081,0.0
dis_12bins_v1,7,0.2,0.3,3.0,4.5,0.25,3.75,LD2,internal-external,10.5,2.506,21.75,0.2497,3.7465,4.861,4.861,8.3178e-06,5.8254,0.0027711,0.1658,5.6569,1.0,0.83444913653998,0.0
dis_12bins_v1,8,0.3,0.4,1.5,3.0,0.35,2.25,LD2,internal-external,10.5,7.074,9.98,0.3496,2.2479,114.29,114.29,0.0070628,110.36,0.001554,0.80938,109.55,1.0,1.035610728524828,0.0
dis_12bins_v1,9,0.3,0.4,3.0,6.0,0.35,4.5,LD2,internal-external,10.5,3.648,19.73,0.3498,4.4974,5.2076,5.2076,2.5671e-05,5.4669,0.00034879,0.039968,5.4266,1.0,0.9525690976604658,0.0
dis_12bins_v1,10,0.4,0.55,2.1,4.5,0.47500000000000003,3.3,LD2,internal-external,10.5,6.797,12.34,0.4746,3.2977,29.297,29.294,0.0030913,27.251,0.00011511,0.14418,27.107,1.0,1.0750798135848225,0.0
