target,Ebeam,Eprime,theta,xB,Q2,sigma_born,sigma_born_in,sigma_born_qe,sigma_rad,sigma_rad_el,sigma_rad_qe,sigma_rad_dis,coulomb_factor,dis_rc_factor,dis_rc_factor_err
LD2,10.5,5.314,8.44,0.1242,1.2086,216.78,216.78,0.0006502,256.07,0.19078,6.2787,249.6,1.0,0.8465653922755497,0.0
LD2,10.5,3.266,12.76,0.1248,1.6938,34.865,34.865,4.4022e-05,47.546,0.11159,2.3861,45.048,1.0,0.7332898666554495,0.0
LD2,10.5,2.246,17.34,0.1384,2.1436,11.438,11.438,1.151e-05,17.435,0.061514,1.4642,15.91,1.0,0.6560367077717236,0.0
LD2,10.5,6.845,7.441,0.1765,1.2105,481.24,481.24,0.0069431,510.82,0.073656,7.9158,502.83,1.0,0.9420931052033985,0.0
LD2,10.5,5.301,10.05,0.1751,1.7081,111.08,111.08,0.00050611,124.05,0.039182,1.8784,122.13,1.0,0.8954453849254334,0.0
LD2,10.5,3.291,15.05,0.1752,2.3705,19.524,19.524,3.3297e-05,24.21,0.022958,0.73617,23.451,1.0,0.8064436183395292,0.0
LD2,10.5,1.94,22.45,0.1922,3.0876,4.9031,4.9031,5.4164e-06,6.8892,0.011851,0.4841,6.3933,1.0,0.7117081809208617,0.0
LD2,10.5,7.572,7.297,0.2344,1.2878,583.28,583.26,0.028243,587.39,0.027923,8.2072,579.16,1.0,0.9930029452322988,0.0
LD2,10.5,6.841,8.85,0.2491,1.7104,222.3,222.3,0.0055666,225.42,0.011703,2.239,223.17,1.0,0.9861591695501731,0.0
LD2,10.5,5.317,11.91,0.2471,2.4036,52.91,52.91,0.00039526,55.936,0.0060769,0.49218,55.437,1.0,0.9459024599542334,0.0
LD2,10.5,3.185,18.51,0.2521,3.4601,8.4331,8.4331,1.9872e-05,9.6409,0.0029522,0.16791,9.47,1.0,0.8747212397182835,0.0
LD2,10.5,2.133,26.11,0.2911,4.5711,2.4368,2.4368,4.2542e-06,2.8925,0.00097896,0.088353,2.8031,1.0,0.8424546240276577,0.0
LD2,10.5,7.955,7.632,0.3099,1.4799,481.35,481.29,0.063765,464.12,0.0081544,6.0585,458.05,1.0,1.0371240196500906,0.0
LD2,10.5,7.679,8.523,0.3364,1.7809,265.35,265.32,0.029312,254.3,0.0034669,2.6233,251.67,1.0,1.0434526150216281,0.0
LD2,10.5,6.846,10.49,0.3504,2.4028,88.72,88.716,0.0043645,85.966,0.0013045,0.57334,85.392,1.0,1.0320359211781402,0.0
LD2,10.5,4.998,15.03,0.3478,3.5906,16.106,16.106,0.00017552,16.283,0.00055829,0.084084,16.199,1.0,0.9891297672419088,0.0
LD2,10.5,3.109,22.39,0.3549,4.922,3.219,3.219,1.2256e-05,3.4379,0.00027377,0.032673,3.4049,1.0,0.9363274091742052,0.0
LD2,10.5,7.315,10.56,0.4353,2.6017,73.49,73.479,0.010099,68.625,0.00036258,0.48742,68.137,1.0,1.0708925318761384,0.0
LD2,10.5,6.308,13.46,0.4625,3.6385,19.75,19.749,0.0012153,18.556,0.00010465,0.080387,18.476,1.0,1.0643457641733132,0.0
LD2,10.5,4.513,19.17,0.4678,5.2553,3.8035,3.8034,6.3725e-05,3.7069,4.1079e-05,0.012906,3.6939,1.0,1.0260595106423156,0.0
LD2,10.5,3.272,25.74,0.5027,6.818,1.008,1.008,1.0639e-05,1.0034,1.4065e-05,0.0046028,0.99883,1.0,1.0045844129958141,0.0
